STATE,1 EARNER,2 PEOPLE,3 PEOPLE,4 PEOPLE,Total Costs for One Year of Car Ownership,Annual Gas,Average Insurance,TOTAL TRANSACTION TAX,ChildCareCostsAnnualCostPerChild,ChildCareCostsSingleParentMedianIncome,ChildCareCostsPercSingleParentMedianIncome,ChildCareCostsMarriedCoupleMedianIncome,ChildCareCostsMarriedCouplePercMedianIncome,ElectricityCostsAvgRetailPrice(cents/kWh),ElectricityCostsNetGeneration(MWh),ElectricityCostsNetSummerCapacity(MW),ElectricityCostsTotalRetailSales(MWh),Residential October 2024,Residential October 2023,Commercial October 2024,Commercial October 2023,Industrial October 2024,Industrial October 2023,Transportation October 2024,Transportation October 2023,All Sectors October 2024,All Sectors October 2023,GroceryPrices2023AverageMonthlyCostOfGroceriesPerPerson,GroceryPrices2022AverageGroceryIndex(100=AvgCost),HealthCareCostsSpendingPerCapita2020KFF,Cost-ProhibitedCare,HealthCareCostsSpendingPerCapita2020Forbes,Average annual premium,Average monthly premium,Difference from national average,Price of 4 bedroom home,StartingCostMonthly,MedianHouseholdIncome2021,Rank,2024 Pop.,2023 Pop.,Change,2020 Pop.,Change (2020),% of US,Density (/mi²),WaterPricesMonthlyWaterBill,WaterPricesTotalMonthlyBills,Studio Rent,1 Bedroom Rent,2 Bedroom Rent,3 Bedroom Rent,4 Bedroom Rent,Gross Income 1 Person,Net Income 1 Person,Gross Income 2 People,Net Income 2 People,Gross Income 3 People,Net Income 3 People,Gross Income 4 People,Net Income 4 People,Code
Idaho,68781,78980,90806,106407,25910,2196,1428,3.35,8317,25771,32.3,80962,10.3,8.17,16836473,5076,25285616,12.29,12.07,9.44,9.17,6.14,6.75,--,--,9.14,9.33,281.12,96.3,8148,52.7,7772,1282,107,1022,492210,50,66474,37,1990460,1964730,1.31%,1849340,7.63%,0.59%,24,38,367.87,765,859,1087,1509,1829,68781,52502.0,78980,59065.0,90806,66675.0,106407,76612.0,ID
Illinois,66950,86442,105897,125022,26755,2338,1532,23.24,11605,29491,39.4,107172,10.8,10.14,181524459,45879,135688833,16.58,15.75,12.35,11.12,9.55,8.25,7.97,7.14,12.59,11.49,327.31,98.5,10190,42.8,9601,2407,201,102,378783,29.99,72205,6,12516900,12549700,-0.26%,12790400,-2.14%,3.73%,225,26,412.36,793,875,1103,1464,1619,66950,51017.0,86442,63765.0,105897,76395.0,125022,88536.0,IL
Indiana,60351,77580,91431,105581,26430,2167,1515,11.55,9589,26881,35.7,91359,10.5,10.36,94164796,26842,99740046,15.81,15.17,12.59,12.09,7.97,7.93,11.61,13.29,11.35,11.12,318.03,93.7,10517,35.2,9914,1717,143,587,325025,29.99,62743,17,6892120,6862200,0.44%,6789100,1.52%,2.05%,192,30,469.51,777,850,1057,1368,1528,60351,47740.0,77580,59304.0,91431,68600.0,105581,78009.0,IN
Iowa,61283,83592,98987,120308,25366,1967,1630,10.07,9322,29018,32.1,97364,9.6,9.13,67207008,21771,52893269,13.28,13.46,10.11,9.69,6.43,6.15,--,--,8.84,8.59,347.05,99.5,9789,39.6,9265,2284,190,20,295447,19.99,65600,31,3214320,3207000,0.23%,3190900,0.73%,0.96%,58,32,423.88,687,762,961,1288,1453,61283,47647.0,83592,62050.0,98987,71946.0,120308,85192.0,IA
Kansas,64518,82685,100333,111192,26840,1939,1900,18.43,8742,27964,31.3,92698,9.4,10.47,56630703,18432,40491786,14.52,13.45,11.14,10.70,8.03,7.29,--,--,11.25,10.45,261.35,93.7,9408,44.7,8845,4241,353,1937,341564,49.99,64124,34,2944380,2940550,0.13%,2938120,0.21%,0.88%,36,27,430.78,752,811,1023,1349,1586,64518,49600.0,82685,61345.0,100333,72749.0,111192,79591.0,KS
Kentucky,57509,69905,83622,102067,26500,1991,2228,11.51,6841,23104,29.6,86059,7.9,9.12,69908411,17583,74516986,13.31,13.17,11.72,11.28,6.68,6.43,--,--,10.17,9.81,315.2,93.5,10257,36.2,9778,3277,273,972,332367,39.99,55573,26,4540740,4526150,0.32%,4508160,0.72%,1.35%,115,49,464.67,785,846,1061,1398,1619,57509,44953.0,69905,53053.0,83622,62017.0,102067,74038.0,KY
Louisiana,53821,66051,77910,97149,26375,1962,2883,11.94,7800,21764,35.8,95486,8.2,8.82,98715313,24866,90819346,11.84,11.95,10.33,10.50,5.43,5.80,11.37,10.61,8.58,8.93,325.19,97.4,10515,32,9796,4296,358,1992,310031,29.99,52087,25,4559480,4573750,-0.31%,4652020,-1.99%,1.36%,106,21,389.62,764,833,1014,1311,1506,53821,43278.0,66051,51473.0,77910,59312.0,97149,72029.0,LA
Maine,66369,79644,103965,114591,25401,2224,1175,9.28,9891,30138,32.8,94782,10.4,13.96,10908144,5026,11584674,26.22,29.06,18.52,17.74,12.36,13.15,--,--,20.12,21.20,372.21,103.4,12077,37.4,11505,1227,102,1078,481174,28.69,64767,42,1402110,1395720,0.46%,1364520,2.76%,0.42%,45,24,432.94,969,1096,1404,1814,2103,66369,50336.0,79644,58725.0,103965,73859.0,114591,80284.0,ME
Maryland,81293,104569,127386,151138,26203,2161,1746,16.21,11106,41710,26.6,131507,8.4,11.48,38235713,13006,59303974,19.21,18.38,13.17,12.50,9.94,10.29,11.72,11.55,15.35,14.70,343.67,111.4,10839,27.2,10340,1561,130,743,522398,19.99,90203,19,6196520,6180250,0.26%,6173690,0.37%,1.84%,638,46,449.87,1133,1206,1465,1906,2144,81293,60674.0,104569,75862.0,127386,90337.0,151138,105583.0,MD
Massachusetts,81170,103404,127323,161149,26340,2209,1726,10.72,16781,32621,51.4,139726,12,19.06,19477347,12747,50798388,29.23,28.19,20.59,19.04,18.78,17.47,8.99,6.65,23.60,22.02,406.21,114,13319,18.2,12754,1671,139,633,764154,19.99,89645,16,7020060,7001400,0.27%,6997710,0.32%,2.09%,900,34,440.37,1276,1401,1793,2236,2563,81170,60097.0,103404,74497.0,127323,89594.0,161149,111832.0,MA
Michigan,64579,77600,95775,114456,26786,2182,2352,10.05,11086,26515,41.8,96983,11.4,12.93,115513130,30141,99813281,19.26,19.20,13.50,13.47,8.42,8.26,14.25,14.43,13.69,13.62,327.12,91.6,9897,36.5,9524,2040,170,265,361914,24.99,63498,10,10041200,10037300,0.04%,10070600,-0.29%,2.99%,178,29,413.07,812,900,1114,1432,1581,64579,49919.0,77600,58526.0,95775,70539.0,114456,82639.0,MI
Minnesota,72319,93855,117426,141903,26484,2056,1911,11.92,12954,33474,38.7,114765,11.3,11.08,59195769,18286,66589168,15.80,15.45,11.95,12.36,9.07,9.31,13.24,12.40,12.18,12.26,395.39,100.7,10846,46.9,10510,2578,215,274,397819,15,77720,22,5761530,5737920,0.41%,5710580,0.89%,1.72%,72,28,380.76,813,875,1101,1503,1820,72319,53870.0,93855,67556.0,117426,82005.0,141903,96849.0,MN
Mississippi,51554,62496,74909,84767,25702,1891,2008,10.13,5439,21304,25.5,81552,6.7,9.5,67723497,14605,48015364,13.78,13.47,12.11,12.09,6.72,6.92,--,--,10.88,10.88,423.33,92.4,9394,44.3,8852,3285,274,980,308864,30,48716,35,2940450,2939690,0.03%,2958410,-0.61%,0.88%,63,23,412.31,795,875,1047,1341,1529,51554,41012.0,62496,48488.0,74909,56600.0,84767,63042.0,MS
Missouri,59605,76787,91333,105914,25340,1945,1982,14.92,7062,27055,26.1,92711,7.6,9.85,76941410,21835,77763041,12.58,12.20,9.52,9.35,7.43,7.40,12.15,12.48,10.31,10.12,312.63,95.4,9921,42.9,9461,2117,176,187,367217,30,61847,18,6215140,6196160,0.31%,6154430,0.99%,1.85%,90,39,447.05,693,736,930,1222,1418,59605,46876.0,76787,58053.0,91333,67515.0,105914,76906.0,MO
Montana,65242,80779,84585,111516,23624,2068,2193,7.03,9334,25865,36.1,89296,10.5,9.5,24947923,6067,14961561,13.35,12.93,12.08,12.32,7.24,8.34,--,--,10.93,11.19,323.91,100.9,10212,40.8,9791,2531,211,227,518419,30,63249,43,1142750,1132810,0.88%,1087210,5.11%,0.34%,8,38,379.34,781,847,1088,1521,1779,65242,49637.0,80779,59635.0,84585,62084.0,111516,79225.0,MT
