State,State Code,Median Family Income,Median Single Income,Yearly 4 Bedroom Rent,Yearly Studio Rent,Yearly Childcare,Yearly Grocery,Yearly Water,Yearly Electricity,Yearly Internet,Yearly Mobile Plan,Yearly Cost for 1 Car,Yearly Healthcare,Total Cost for Family of 4,Income Minus Cost for 4,Total Cost for Single Person,Income Minus Cost for 1
North Carolina,NC,79246.0,48219.0,22560.0,11412.0,9350.0,4093.2000000000003,240.0,186.24,13.0944,13.0944,24651.0,8917.0,41260.0,37986.0,15745.2,32473.8
North Dakota,ND,91021.0,53397.0,19200.0,8604.0,8624.0,3919.92,372.0,144.96,13.895999999999999,13.895999999999999,25504.0,11301.0,36448.0,54573.0,12895.92,40501.08
Ohio,OH,83030.0,48921.0,16644.0,8568.0,8303.0,4097.76,324.0,199.56,13.0836,13.0836,25665.0,10478.0,33250.0,49780.0,12989.76,35931.24
Oklahoma,OK,67765.0,44040.0,17220.0,8556.0,7520.0,4156.4400000000005,420.0,168.96,14.1972,14.1972,24914.0,9444.0,32260.0,35505.0,13132.44,30907.559999999998
Oregon,OR,81422.0,51533.0,29136.0,13056.0,8749.0,4504.92,912.0,183.0,13.0716,13.0716,23583.0,10071.0,46634.0,34788.0,18472.92,33060.08
Pennsylvania,PA,91359.0,52218.0,20616.0,10500.0,10150.0,4812.24,372.0,221.16,14.1372,14.1372,26527.0,11603.0,40916.0,50443.0,15684.24,36533.76
Rhode Island,RI,97419.0,54686.0,35448.0,17352.0,11700.0,4682.28,384.0,330.84000000000003,13.8864,13.8864,26982.0,11694.0,58848.0,38571.0,22418.28,32267.72
South Carolina,SC,72468.0,45528.0,21036.0,11388.0,9932.0,4935.4800000000005,396.0,188.88,13.6188,13.6188,25802.0,8766.0,40900.0,31568.0,16719.48,28808.52
South Dakota,SD,86513.0,52159.0,20568.0,9084.0,6677.0,3434.76,312.0,166.32,14.004000000000001,14.004000000000001,25631.0,12495.0,33922.0,52591.0,12830.76,39328.24
Tennessee,TN,77363.0,48775.0,19284.0,9912.0,8759.0,4156.4400000000005,516.0,155.04,13.6764,13.6764,26392.0,9336.0,36802.0,40561.0,14584.44,34190.56
Texas,TX,83678.0,50469.0,22368.0,10896.0,9147.0,3439.68,444.0,187.32,14.096400000000001,14.096400000000001,26343.0,8406.0,40662.0,43016.0,14779.68,35689.32
Utah,UT,85591.0,58923.0,24660.0,11052.0,8268.0,3386.76,456.0,137.04,14.211599999999999,14.211599999999999,26717.0,7522.0,41196.0,44395.0,14894.76,44028.24
Vermont,VT,92318.0,50708.0,30156.0,16092.0,12835.0,5968.92,216.0,278.52,13.068,13.068,25859.0,12756.0,55826.0,36492.0,22276.92,28431.08
Virginia,VA,97422.0,56888.0,23256.0,11868.0,10451.0,3576.12,432.0,180.60000000000002,12.936,12.936,24970.0,9195.0,44158.0,53264.0,15876.119999999999,41011.880000000005
Washington,WA,104231.0,67745.0,31140.0,14196.0,13404.0,4824.96,900.0,150.0,14.591999999999999,14.591999999999999,27016.0,9265.0,57948.0,46283.0,19920.96,47824.04
West Virginia,WV,65927.0,45366.0,18324.0,8712.0,8320.0,5126.28,1092.0,196.56,13.434,13.434,26412.0,12769.0,34964.0,30963.0,14930.279999999999,30435.72
Wisconsin,WI,86861.0,50589.0,19044.0,9300.0,10536.0,4631.64,216.0,205.68,12.9876,12.9876,25426.0,9982.0,40116.0,46745.0,14147.64,36441.36
Wyoming,WY,86549.0,50755.0,22560.0,9276.0,8236.0,4147.4400000000005,636.0,168.96,13.107600000000001,13.107600000000001,26197.0,10989.0,39032.0,47517.0,14059.44,36695.56
